airlineIataCode,airlineName,airlineName_trimmed
2I,21 에어,21에어
Q5,40 마일 에어,40마일에어
FE,748 항공서비스,748항공서비스
R7,세븐에어,세븐에어
AQ,9 에어,9에어
Y6,AB 항공,AB항공
GB,ABX 에어,ABX에어
AN,어드밴스드 에어,어드밴스드에어
A3,에게안 항공,에게안항공
EF,에어카리베 페루,에어카리베페루
EI,에어링거스,에어링거스
EI,에어링구스리저널,에어링구스리저널
JK,에어카리베,에어카리베
N2,에어로 콘트렉트 항공,에어로콘트렉트항공
8G,에어로 딜리,에어로딜리
RF,에어로 K,에어로K
M0,에어로몽골,에어로몽골
KA,에어로 노마드,에어로노마드
7L,에어로카리비엔,에어로카리비엔
SU,아에로플로트,아에로플로트
XZ,에어리탈리아,에어리탈리아
AR,아르헨티나 항공,아르헨티나항공
S0,SOSA 항공,SOSA항공
3S,에어로로직,에어로로직
AM,아에로 멕시코,아에로멕시코
5D,아에로멕시코 커넥트,아에로멕시코커넥트
KW,에어로스탄,에어로스탄
E4,아에로탁시 아베테,아에로탁시아베테
F5,에어로트렌스카고,에어로트렌스카고
6R,아에로 유니온,아에로유니온
V5,에어로비아스 DAP,에어로비아스DAP
ZV,에어루스,에어루스
AW,아프리카 월드 항공,아프리카월드항공
XU,아프리카 익스프레스 에어웨이,아프리카익스프레스에어웨이
J7,아프리제트 비즈니스서비스,아프리제트비즈니스서비스
8U,아프리키야 항공,아프리키야항공
ZB,에어 알바니아,에어알바니아
AH,에어 알제리,에어알제리
6I,에어 알시,에어알시
TZ,에어 앙카,에어앙카
3S,에어 안틸레스,에어안틸레스
G9,에어 아라비아,에어아라비아
3L,에어 아라비아 아부다비,에어아라비아아부다비
E5,에어 아라비아 이집트,에어아라비아이집트
3O,에어 아라비아 모로코,에어아라비아모로코
KC,에어 아스타나,에어아스타나
2A,에어 아스트라,에어아스트라
CC,에어 애틀랜타 아이슬란드,에어애틀랜타아이슬란드
UU,에어 오스트랄,에어오스트랄
KF,에어 벨기에,에어벨기에
BP,에어 보츠와나,에어보츠와나
2J,에어 부르키나,에어부르키나
BX,에어 부산,에어부산
SM,에어카이로,에어카이로
TY,에어 칼레도니,에어칼레도니
AC,에어 캐나다,에어캐나다
RV,에어 캐나다 루즈,에어캐나다루즈
TX,에어 카라이브,에어카라이브
2Q,에어 카고캐리어,에어카고캐리어
GI,에어 센트럴,에어센트럴
Y2,에어 센츄리,에어센츄리
9H,에어 장안,에어장안
3C,에어 차트마스,에어차트마스
CA,에어 중국,에어중국
CA,에어 중국 화물,에어중국화물
8Z,에어 콩고,에어콩고
KS,에어 커넥트 항공,에어커넥트항공
XK,에어 코시카,에어코시카
HF,에어 코트디부아르,에어코트디부아르
YN,에어 크리벡,에어크리벡
RM,에어 딜리얀스,에어딜리얀스
DJ,에어 지부티,에어지부티
HD,에어 두,에어두
EN,에어 돌로미티,에어돌로미티
X5,에어 유로파 익스프레스,에어유로파익스프레스
UX,에어 유로파 항공,에어유로파항공
FS,에어 팔콘,에어팔콘
F4,에어 플라맹고,에어플라맹고
AF,에어 프랑스,에어프랑스
GL,에어 그린란드,에어그린란드
GT,에어 구이린,에어구이린
LD,에어 홍콩,에어홍콩
HT,에어 호라이즌,에어호라이즌
NY,에어 아이슬란드 커넥트,에어아이슬란드커넥트
KJ,에어 인천,에어인천
AI,에어 인도,에어인도
IX,에어 인디아 익스프레스,에어인디아익스프레스
3H,에어 인뉴이트,에어인뉴이트
AO,에어 후한,에어후한
IK,에어 키리바시,에어키리바시
JS,고려항공,고려항공
7I,에어 리비아,에어리비아
LZ,에어 링크,에어링크
NX,에어 마카오,에어마카오
ZM,에어 마냐스,에어마냐스
MK,에어 모리셔스,에어모리셔스
MV,에어 메디티라아난,에어메디티라아난
4O,에어 몬테네그로,에어몬테네그로
NZ,에어 뉴질랜드,에어뉴질랜드
PX,에어 뉴기니,에어뉴기니
4N,에어 노스,에어노스
N6,에어 원나인,에어원나인
7P,에어 파나마,에어파나마
P4,에어 피스,에어피스
YP,에어 프레미아,에어프레미아
GZ,에어 라로통가,에어라로통가
PJ,에어 생피에르,에어생피에르
9S,에어 사마르칸트,에어사마르칸트
HC,에어 세네갈,에어세네갈
RS,에어 서울,에어서울
JU,에어 세르비아,에어세르비아
HM,에어 세이쉘,에어세이쉘
YD,에어 시에라리온,에어시에라리온
VT,에어 타히티,에어타히티
TN,에어 타히티 누이,에어타히티누이
TC,에어 탄자니아,에어탄자니아
ST,에어탈루인,에어탈루인
6C,에어 티모르,에어티모르
8T,에어 틴디,에어틴디
TS,에어 트란삿,에어트란삿
8C,에어 트랜스포트 인터내셔널,에어트랜스포트인터내셔널
A6,에어 트래블,에어트래블
3N,에어 우르가,에어우르가
NF,에어 바누아투,에어바누아투
ZW,에어 위스콘신,에어위스콘신
UM,에어 짐바브웨,에어짐바브웨
9T,에어 엑트,에어엑트
AK,에어아시아,에어아시아
KT,에어아시아 캄보디아,에어아시아캄보디아
D7,에어아시아 엑스,에어아시아엑스
BT,에어발틱,에어발틱
PA,에어블루,에어블루
7B,에어보르네오,에어보르네오
4Y,에어버스 국제운송,에어버스국제운송
SB,에어칼린,에어칼린
ED,에어익스플로어,에어익스플로어
E2,에어하이파,에어하이파
RE,에어허버항공,에어허버항공
NQ,에어재팬,에어재팬
P2,에어케냐,에어케냐
K2,에어리프트 알래스카,에어리프트알래스카
4Z,에어링크 남아공,에어링크남아공
X8,에어맥스 카고,에어맥스카고
TL,에어노스,에어노스
PF,에어시알,에어시알
T6,에어스위프트,에어스위프트
VF,에이젯,에이젯
QP,아카사 항공,아카사항공
6L,악락 항공,악락항공
JN,알래스카 항공 교통,알래스카항공교통
AS,알래스카 항공,알래스카항공
KO,알래스카 센트랄 익스프레스,알래스카센트랄익스프레스
J5,알래스카 시플레인서비스,알래스카시플레인서비스
AP,알바스타,알바스타
G0,알바트로스 항공,알바트로스항공
VC,알류샨 항공,알류샨항공
DQ,알렉산드리아 항공,알렉산드리아항공
NH,전일본공수,전일본공수
G4,엘리지언트 에어,엘리지언트에어
9I,얼라이언스 에어,얼라이언스에어
QQ,알리앙스 항공,알리앙스항공
4W,얼라이드 에어,얼라이드에어
UJ,알마스리아 유니버셜 항공,알마스리아유니버셜항공
KH,알로하 항공 화물,알로하항공화물
AS,알파 스카이 항공,알파스카이항공
5A,알파인 에어 익스프레스,알파인에어익스프레스
6R,알로사 항공,알로사항공
K4,ALS 리미티드,ALS리미티드
