type_key,category,title,icon
"accomodation","RESERVATION","숙박 예약","{""name"":""🛌"",""type"":""tossface""}"
"insurance","RESERVATION","여행자 보험 가입","{""name"":""🛡️"",""type"":""tossface""}"
"passport","FOREIGN","여권","{""name"":""passport"",""type"":""material-community""}"
"cash","FOREIGN","환전 (현금)","{""name"":""💱"",""type"":""tossface""}"
"prepaid_card","FOREIGN","환전 (충전식 카드)","{""name"":""money-check-alt"",""type"":""font-awesome-5""}"
"credit_card","FOREIGN","해외 사용 신용카드","{""name"":""credit-card"",""type"":""font-awesome""}"
"roaming","FOREIGN","로밍","{""name"":""📶"",""type"":""tossface""}"
"visit_japan","FOREIGN","Visit Japan","{""name"":""📝"",""type"":""tossface""}"
"military_approvement","FOREIGN","국외여행허가","{""name"":""👨🏻‍✈️"",""type"":""tossface""}"
"clothing","CLOTHING","옷","{""name"":""👕"",""type"":""tossface""}"
"toothbrush_set","WASH","칫솔, 치약","{""name"":""🪥"",""type"":""tossface""}"
"charger","ELECTRONICS","폰 충전기","{""name"":""smartphone"",""type"":""image""}"
"earphones","ELECTRONICS","이어폰","{""name"":""🎧"",""type"":""tossface""}"
"power_bank","ELECTRONICS","보조 배터리","{""name"":""power-bank"",""type"":""image""}"
"suitcase","GOODS","캐리어","{""name"":""🧳"",""type"":""tossface""}"
"bag","GOODS","들고다닐 가방","{""name"":""🎒"",""type"":""tossface""}"
"sunscreen","WASH","선크림","{""name"":""shield-sun-outline"",""type"":""material-community""}"
"tissue","GOODS","휴대용 티슈","{""name"":""🗳️"",""type"":""tossface""}"
"personal_medication","GOODS","개인 복용약","{""name"":""💊"",""type"":""tossface""}"
"cosmetics","WASH","화장품","{""name"":""💅"",""type"":""tossface""}"
"towel","WASH","수건","{""name"":""towel"",""type"":""image""}"
"umbrella","GOODS","우산","{""name"":""☂️"",""type"":""tossface""}"
"camera","GOODS","카메라","{""name"":""📷"",""type"":""tossface""}"
"pajamas","CLOTHING","잠옷","{""name"":""pajamas"",""type"":""image""}"
"sandals","CLOTHING","샌들","{""name"":""sandals"",""type"":""image""}"
"sunglasses","GOODS","선글라스","{""name"":""🕶️"",""type"":""tossface""}"
"tumbler","GOODS","텀블러","{""name"":""🥤"",""type"":""tossface""}"
"adapter","ELECTRONICS","어댑터","{""name"":""🔌"",""type"":""tossface""}"
