type_key,category,title,subtitle,icon
"ACCOMODATION","RESERVATION","숙박 예약",,"{""name"":""🛌"",""type"":""tossface""}"
"INSURANCE","WORK","여행자 보험 가입",,"{""name"":""🛡️"",""type"":""tossface""}"
"PASSPORT","FOREIGN","여권",,"{""name"":""passport"",""type"":""material-community""}"
"CASH","FOREIGN","환전 (현금)",,"{""name"":""💱"",""type"":""tossface""}"
"PREPAID_CARD","FOREIGN","환전 (충전식 카드)",,"{""name"":""money-check-alt"",""type"":""font-awesome-5""}"
"CREDIT_CARD","FOREIGN","해외 사용 신용카드",,"{""name"":""credit-card"",""type"":""font-awesome""}"
"ROAMING","FOREIGN","로밍",,"{""name"":""📶"",""type"":""tossface""}"
"VISIT_JAPAN","FOREIGN","Visit Japan",,"{""name"":""visit-japan"",""type"":""image""}"
"MILITARY_APPROVEMENT","FOREIGN","국외여행허가",,"{""name"":""👨🏻‍✈️"",""type"":""tossface""}"
"CLOTHING","CLOTHING","옷",,"{""name"":""👕"",""type"":""tossface""}"
"TOOTHBRUSH_SET","WASH","칫솔, 치약",,"{""name"":""🪥"",""type"":""tossface""}"
"CHARGER","ELECTRONICS","폰 충전기",,"{""name"":""charger"",""type"":""image""}"
"EARPHONES","ELECTRONICS","이어폰",,"{""name"":""🎧"",""type"":""tossface""}"
"POWER_BANK","ELECTRONICS","보조 배터리",,"{""name"":""power-bank"",""type"":""image""}"
"SUITCASE","SUPPLY","캐리어",,"{""name"":""🧳"",""type"":""tossface""}"
"BAG","SUPPLY","들고다닐 가방",,"{""name"":""🎒"",""type"":""tossface""}"
"SUNSCREEN","WASH","선크림",,"{""name"":""shield-sun-outline"",""type"":""material-community""}"
"TISSUE","SUPPLY","휴대용 티슈",,"{""name"":""🗳️"",""type"":""tossface""}"
"PERSONAL_MEDICATION","SUPPLY","개인 복용약",,"{""name"":""💊"",""type"":""tossface""}"
"COSMETICS","WASH","화장품",,"{""name"":""💅"",""type"":""tossface""}"
"TOWEL","WASH","수건",,"{""name"":""towel"",""type"":""image""}"
"UMBRELLA","SUPPLY","우산",,"{""name"":""☂️"",""type"":""tossface""}"
"CAMERA","SUPPLY","카메라",,"{""name"":""📷"",""type"":""tossface""}"
"PAJAMAS","CLOTHING","잠옷",,"{""name"":""pajamas"",""type"":""image""}"
"SANDALS","CLOTHING","샌들",,"{""name"":""sandals"",""type"":""image""}"
"SUNGLASSES","SUPPLY","선글라스",,"{""name"":""🕶️"",""type"":""tossface""}"
"TUMBLER","SUPPLY","텀블러",,"{""name"":""🥤"",""type"":""tossface""}"
"ADAPTER","ELECTRONICS","어댑터",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_JP","ELECTRONICS","어댑터 (Type A)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_US","ELECTRONICS","어댑터 (Type B)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_GB","ELECTRONICS","어댑터 (Type G)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_TH","ELECTRONICS","어댑터 (Type A & B)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_AU","ELECTRONICS","어댑터 (Type I)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_CN","ELECTRONICS","어댑터 (Type A & I)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_TW","ELECTRONICS","어댑터 (Type A & B)",,"{""name"":""🔌"",""type"":""tossface""}"
"ADAPTER_PH","ELECTRONICS","어댑터 (Type A & B)",,"{""name"":""🔌"",""type"":""tossface""}"
