airportName,cityName,iso2DigitNationCode,IataCode
아코루냐 공항,아코루나,ES,LCG
올보르 공항,올보르그,DK,AAL
오르후스 공항,오르후스,DK,AAR
아시아앗 공항,아시아트,GL,JEG
아바 세구드 공항,짐마,ET,JIM
아바 테나 데자즈마흐 일마 국제공항,디레 다와,ET,DIR
아바단 공항,아바단,IR,ABD
아바이앙 공항,아바이앙,KI,ABF
아바칸 공항,아바칸,RU,ABA
애버츠퍼드 국제공항,애벗스포드,CA,YXX
압델하피드 부수프 부 체키프 공항,티아렛,DZ,TID
압둘 라흐만 살레 공항,말랑,ID,MLG
압둘라히 유수프 국제공항,갈카요,SO,GLK
아베셰 공항,아베체,TD,AEH
아베이드 아마니 카루메 국제공항,잔지바르,TZ,ZNZ
아벨 산타마리아 공항,산타 클라라,CU,SNU
아베마마 아톨 공항,아베마마 환초,KI,AEA
애버딘 국제공항,애버딘,GB,ABZ
애버딘 지역 공항,애버딘,US,ABR
아바 공항,아바,SA,AHB
애빌린 지역 공항,애빌린,US,ABI
아브라함 곤잘레스 국제 공항,시우다드 후아레스,MX,CJS
에이브러햄 링컨 캐피털 공항,스프링필드,US,SPI
아브루초 공항,페스카라,IT,PSR
아부다비 국제공항,아부다비,AE,AUH
아부무사 공항,아부 무사 섬,IR,AEU
아부심벨 공항,아부 심벨,EG,ABS
아카디아나 지역공항,이베리아,US,ARA
아칸디 알시데스 페르난데스 공항,아칸디,CO,ACD
아카풀코 알바레스 국제공항,아카풀코,MX,ACA
아크라 코토카 국제공항,아크라,GH,ACC
아흐마드 야니 국제공항,세마랑,ID,SRG
아추투포 공항,아추투포,PA,ACU
아다도 공항,아다도,SO,AAD
아다크 섬 해군 공항,아닥 섬,US,ADK
아담푸르 공항,아담푸르,IO,AIP
아다나 사키르파사 공항,아단,TR,ADA
아디스아바바 볼레 국제공항,아디스 아바바,ET,ADD
애디슨 공항,댈러스,US,ADS
애들레이드 공항,애들레이드,AU,ADL
